course_id,course_nm,course_mode,duration,course_start_date,course_end_date,minimum_level,ingest_timestamp,load_key
C00018,Application Security Foundations,self_paced,11,19-01-2022,28-02-2023,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00019,Cloud Computing with AWS,self_paced,23,20-05-2025,2026-04-06 00:00:00,9,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00020,Azure Cloud Fundamentals,virtual,7,17-08-2023,22-09-2024,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00021,Agile Scrum Master Training,self_paced,22,18-09-2023,24-10-2024,9,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00022,Risk Management Fundamentals,virtual,23,23-02-2025,23-04-2026,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00023,Budgeting and Forecasting,virtual,13,16-11-2023,16-11-2024,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00024,Business Analysis and Requirement Gathering,in-person,17,13-04-2022,14-04-2023,9,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00025,Product Roadmapping and Strategy,virtual,49,14-04-2022,2023-11-06 00:00:00,7,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00026,Competitive Analysis for Product Teams,in-person,15,17-02-2024,14-04-2025,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00027,Technical Product Management,self_paced,5,28-03-2021,23-04-2022,7,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00028,Stakeholder Management Mastery,self_paced,28,23-08-2023,24-08-2024,7,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00029,Campaign Management Essentials,self_paced,24,14-04-2025,2026-09-06 00:00:00,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00030,Financial Reporting and Analysis,virtual,20,2023-05-03 00:00:00,20-03-2024,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00031,ISO 27001 Compliance Training,virtual,20,2021-05-02 00:00:00,26-02-2022,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00032,GAAP Principles and Practices,self_paced,42,16-04-2021,18-04-2022,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00033,Payroll Management Certification,in-person,5,2022-09-05 00:00:00,28-06-2023,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00034,SEO Mastery Course,virtual,34,2022-07-01 00:00:00,18-01-2023,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00035,SEM Strategy and Optimization,virtual,25,2020-12-12 00:00:00,27-12-2021,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00036,Customer Service Excellence,self_paced,13,31-12-2023,26-02-2025,12,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00037,Voice and Accent Training for Support Roles,virtual,9,20-04-2025,17-06-2026,12,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00038,Recruitment and Talent Sourcing,self_paced,19,2020-05-12 00:00:00,2021-08-12 00:00:00,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00039,Interviewing Skills for Recruiters,virtual,25,2023-08-05 00:00:00,21-05-2024,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00040,HRIS Systems Training,virtual,28,28-08-2021,2022-08-09 00:00:00,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00041,Employee Engagement Strategies,virtual,15,23-10-2023,27-11-2024,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00042,Zendesk Support Professional Training,self_paced,19,17-03-2022,15-05-2023,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00043,Salesforce Service Cloud Training,virtual,20,24-06-2024,2025-09-07 00:00:00,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00044,JIRA Project Management Mastery,in-person,40,28-07-2024,29-07-2025,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00045,Bug Tracking and Issue Management,virtual,41,16-04-2023,24-05-2024,11,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00046,Tally ERP with GST,virtual,20,2023-02-06 00:00:00,2024-08-06 00:00:00,9,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00047,SAP FICO Complete Training,in-person,11,24-05-2025,2026-01-07 00:00:00,8,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00048,Excel for Budgeting and Forecasting,in-person,32,2025-08-05 00:00:00,21-05-2026,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00049,Ticketing Systems and IT Support,in-person,20,22-04-2023,28-04-2024,12,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
C00050,Escalation Management for Support Teams,virtual,27,2020-11-08 00:00:00,28-09-2021,10,2026-07-03 12:51:22.508817,LCK_20260703_125122_XAJI0Y
