assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date
A0382,E0666,C0038,65,Client Interview,2021-03-29
A0383,E0668,C0044,62,Hands-on,2024-11-17
A0384,E0669,C0025,76,Competency,2022-06-11
A0385,E0670,C0006,49,Client Interview,2022-01-20
A0386,E0671,C0046,88,Client Interview,2023-05-17
A0387,E0671,C0024,97,Competency,2023-05-26
A0388,E0675,C0023,78,Competency,2024-11-18
A0389,E0675,C0030,66,Applied Project Simulation,2023-10-19
A0390,E0678,C0031,62,Hands-on,2025-02-10
A0391,E0678,C0044,48,Applied Project Simulation,2025-06-29
A0392,E0680,C0019,94,Client Interview,2026-06-05
A0393,E0682,C0023,70,Competency,2024-04-29
A0394,E0686,C0038,64,Hands-on,2022-10-14
A0395,E0687,C0041,72,Client Interview,2024-09-30
A0396,E0689,C0041,59,Applied Project Simulation,2024-07-14
A0397,E0690,C0026,60,Competency,2025-05-21
A0398,E0694,C0026,90,Applied Project Simulation,2024-07-15
A0399,E0694,C0027,69,Applied Project Simulation,2021-12-28
A0400,E0698,C0035,57,Competency,2021-09-12
A0401,E0699,C0028,99,Hands-on,2023-11-01
A0402,E0700,C0025,61,Hands-on,2023-10-19
A0403,E0701,C0016,95,Hands-on,2024-02-23
A0404,E0702,C0027,86,Client Interview,2022-05-14
A0405,E0704,C0035,99,Hands-on,2022-02-18
A0406,E0704,C0014,63,Hands-on,2022-01-16
A0407,E0705,C0015,70,Hands-on,2026-05-20
A0408,E0706,C0025,40,Hands-on,2022-06-16
A0409,E0712,C0027,59,Competency,2021-08-27
A0410,E0713,C0028,92,Client Interview,2024-10-09
A0411,E0716,C0003,80,Competency,2024-06-01
A0412,E0717,C0041,80,Client Interview,2024-03-24
A0413,E0719,C0030,50,Hands-on,2023-08-29
A0414,E0720,C0002,40,Competency,2020-12-01
A0415,E0721,C0007,84,Applied Project Simulation,2025-12-03
A0416,E0723,C0021,86,Client Interview,2024-03-11
A0417,E0724,C0004,57,Hands-on,2026-05-12
A0418,E0726,C0048,90,Client Interview,2026-02-15
A0419,E0730,C0036,89,Hands-on,2024-08-30
A0420,E0731,C0032,61,Hands-on,2022-07-11
A0421,E0733,C0040,85,Client Interview,2022-02-07
A0422,E0735,C0005,83,Applied Project Simulation,2024-12-04
A0423,E0736,C0042,81,Applied Project Simulation,2023-05-16
A0424,E0738,C0014,72,Client Interview,2022-04-17
A0425,E0738,C0010,70,Client Interview,2025-09-28
A0426,E0739,C0028,64,Hands-on,2024-07-26
A0427,E0743,C0019,99,Hands-on,2026-04-16
A0428,E0744,C0034,79,Client Interview,2022-11-07
A0429,E0745,C0021,82,Applied Project Simulation,2024-06-18
A0430,E0747,C0040,90,Competency,2025-04-01
A0431,E0747,C0041,75,Hands-on,2025-05-06
A0432,E0750,C0007,52,Competency,2026-06-15
A0433,E0754,C0044,73,Client Interview,2025-07-03
A0434,E0754,C0013,51,Applied Project Simulation,2025-11-15
A0435,E0760,C0034,91,Client Interview,2023-02-27
A0436,E0764,C0047,62,Competency,2025-10-28
A0437,E0764,C0007,79,Client Interview,2025-11-16
A0438,E0769,C0040,78,Applied Project Simulation,2022-09-30
A0439,E0777,C0028,64,Applied Project Simulation,2024-03-29
A0440,E0783,C0032,67,Hands-on,2021-12-04
A0441,E0784,C0034,86,Hands-on,2024-12-29
A0442,E0784,C0032,91,Applied Project Simulation,2025-01-10
A0443,E0785,C0031,88,Competency,2023-05-11
A0444,E0787,C0022,56,Client Interview,2025-11-17
A0445,E0787,C0004,82,Competency,2026-03-15
A0446,E0788,C0024,86,Applied Project Simulation,2023-03-04
A0447,E0789,C0014,41,Client Interview,2021-11-30
A0448,E0789,C0013,99,Competency,2026-06-04
A0449,E0790,C0025,87,Client Interview,2023-06-20
A0450,E0793,C0003,59,Hands-on,2024-01-05
A0451,E0794,C0004,89,Hands-on,2025-12-05
A0452,E0795,C0018,100,Client Interview,2023-02-27
A0453,E0795,C0016,46,Hands-on,2021-04-08
A0454,E0798,C0029,80,Client Interview,2026-01-11
A0455,E0799,C0047,75,Competency,2025-12-07
A0456,E0800,C0028,76,Applied Project Simulation,2024-05-08
A0457,E0801,C0032,92,Hands-on,2025-03-20
A0458,E0803,C0023,70,Applied Project Simulation,2024-08-12
A0459,E0807,C0022,88,Client Interview,2025-09-28
A0460,E0807,C0003,78,Applied Project Simulation,2023-11-23
A0461,E0808,C0031,55,Competency,2022-04-01
A0462,E0810,C0023,91,Applied Project Simulation,2024-11-06
A0463,E0812,C0039,92,Hands-on,2024-01-21
A0464,E0813,C0017,98,Competency,2025-03-01
A0465,E0814,C0041,40,Hands-on,2024-06-23
A0466,E0815,C0021,97,Hands-on,2024-05-14
A0467,E0815,C0006,93,Hands-on,2023-12-21
A0468,E0819,C0034,75,Competency,2023-03-24
A0469,E0820,C0040,74,Applied Project Simulation,2021-12-09
A0470,E0820,C0049,54,Applied Project Simulation,2024-05-07
A0471,E0825,C0033,98,Competency,2023-06-26
A0472,E0825,C0016,80,Hands-on,2020-12-24
A0473,E0826,C0014,71,Competency,2021-11-11
A0474,E0826,C0032,99,Competency,2022-05-13
A0475,E0833,C0043,57,Hands-on,2025-07-14
A0476,E0833,C0022,79,Hands-on,2025-08-08
A0477,E0837,C0023,78,Client Interview,2024-10-01
A0478,E0838,C0032,89,Competency,2021-07-26
A0479,E0839,C0027,66,Competency,2023-09-05
A0480,E0841,C0030,88,Applied Project Simulation,2024-02-12
A0481,E0842,C0013,89,Applied Project Simulation,2026-03-27
A0482,E0842,C0033,55,Competency,2023-01-10
A0483,E0848,C0030,75,Client Interview,2024-02-07
A0484,E0856,C0023,65,Competency,2024-09-02
A0485,E0857,C0039,98,Client Interview,2024-01-01
A0486,E0858,C0022,92,Client Interview,2025-06-10
A0487,E0860,C0031,86,Hands-on,2022-02-11
A0488,E0861,C0030,61,Applied Project Simulation,2024-02-14
A0489,E0864,C0046,83,Client Interview,2023-04-19
A0490,E0873,C0025,59,Client Interview,2023-09-09
A0491,E0874,C0014,73,Client Interview,2024-10-07
A0492,E0876,C0017,96,Applied Project Simulation,2024-10-31
A0493,E0876,C0044,64,Client Interview,2025-02-19
A0494,E0877,C0028,65,Client Interview,2023-12-18
A0495,E0878,C0014,100,Client Interview,2024-05-20
A0496,E0882,C0018,59,Hands-on,2022-09-12
A0497,E0883,C0028,41,Hands-on,2024-07-08
A0498,E0884,C0024,100,Applied Project Simulation,2022-09-05
A0499,E0886,C0015,83,Competency,2026-04-01
A0500,E0887,C0014,96,Client Interview,2021-09-16
A0501,E0889,C0014,71,Competency,2021-11-04
A0502,E0892,C0019,44,Competency,2026-04-09
A0503,E0892,C0045,60,Client Interview,2024-01-17
A0504,E0893,C0025,89,Applied Project Simulation,2022-08-28
A0505,E0894,C0047,82,Hands-on,2025-08-14
A0506,E0896,C0028,71,Applied Project Simulation,2024-10-29
A0507,E0898,C0019,75,Client Interview,2026-02-19
A0508,E0898,C0025,100,Competency,2023-11-23
A0509,E0900,C0046,42,Applied Project Simulation,2024-09-12
A0510,E0901,C0025,96,Hands-on,2024-06-11
A0511,E0905,C0024,68,Competency,2023-01-28
A0512,E0907,C0027,72,Client Interview,2022-05-13
A0513,E0908,C0009,65,Applied Project Simulation,2022-01-09
A0514,E0908,C0024,63,Competency,2023-02-05
A0515,E0913,C0038,89,Applied Project Simulation,2020-08-15
A0516,E0914,C0036,71,Applied Project Simulation,2024-05-10
A0517,E0916,C0014,71,Client Interview,2022-03-10
A0518,E0918,C0023,74,Competency,2024-09-26
A0519,E0920,C0027,98,Client Interview,2022-03-08
A0520,E0921,C0040,70,Applied Project Simulation,2022-08-02
A0521,E0922,C0050,48,Applied Project Simulation,2022-01-22
A0522,E0924,C0040,80,Client Interview,2025-03-07
A0523,E0925,C0017,55,Client Interview,2026-06-27
A0524,E0926,C0027,99,Applied Project Simulation,2024-04-06
A0525,E0929,C0008,66,Competency,2024-12-03
A0526,E0931,C0022,50,Hands-on,2025-05-04
A0527,E0932,C0028,100,Competency,2024-03-10
A0528,E0935,C0031,95,Competency,2021-06-24
A0529,E0936,C0046,82,Hands-on,2023-12-25
A0530,E0939,C0040,98,Hands-on,2022-02-23
A0531,E0946,C0031,75,Client Interview,2021-09-05
A0532,E0947,C0015,47,Hands-on,2026-02-03
A0533,E0947,C0023,92,Applied Project Simulation,2024-06-04
A0534,E0955,C0033,84,Applied Project Simulation,2022-11-29
A0535,E0957,C0010,81,Competency,2025-06-20
A0536,E0959,C0039,63,Applied Project Simulation,2024-06-11
A0537,E0959,C0032,66,Client Interview,2023-05-18
A0538,E0960,C0030,86,Competency,2024-03-22
A0539,E0962,C0041,74,Hands-on,2024-05-19
A0540,E0964,C0047,87,Hands-on,2025-10-29
A0541,E0969,C0007,58,Client Interview,2025-09-25
A0542,E0969,C0030,81,Hands-on,2023-11-09
A0543,E0972,C0035,75,Hands-on,2021-09-04
A0544,E0973,C0030,97,Client Interview,2023-10-06
A0545,E0974,C0030,57,Competency,2023-08-24
A0546,E0975,C0030,54,Applied Project Simulation,2023-05-23
A0547,E0976,C0026,99,Applied Project Simulation,2024-06-24
A0548,E0978,C0029,78,Competency,2026-01-22
A0549,E0979,C0028,100,Hands-on,2024-09-08
A0550,E0980,C0041,68,Client Interview,2024-12-31
A0551,E0982,C0026,65,Hands-on,2024-07-16
A0552,E0983,C0026,100,Applied Project Simulation,2024-08-12
A0553,E0983,C0009,98,Hands-on,2021-10-27
A0554,E0986,C0039,77,Competency,2023-12-12
A0555,E0989,C0028,57,Competency,2024-08-20
A0556,E0990,C0027,97,Competency,2021-11-17
A0557,E0994,C0035,56,Competency,2024-01-11
