assessment_id,Emp_ID,course_id,score_prct,method_of_assessment,assessment_date
A0039,E0077,C0025,86,Hands-on,2023-02-21
A0040,E0078,C0043,49,Hands-on,2024-09-23
A0041,E0080,C0027,71,Hands-on,2021-09-26
A0042,E0083,C0045,90,Client Interview,2024-05-01
A0043,E0083,C0013,92,Client Interview,2026-02-18
A0044,E0084,C0010,47,Competency,2025-10-04
A0045,E0084,C0040,51,Hands-on,2023-10-02
A0046,E0085,C0038,80,Hands-on,2024-05-12
A0047,E0087,C0041,77,Applied Project Simulation,2024-03-24
A0048,E0088,C0013,93,Hands-on,2026-01-04
A0049,E0088,C0003,94,Applied Project Simulation,2024-03-26
A0050,E0089,C0031,71,Client Interview,2022-04-26
A0051,E0094,C0001,82,Client Interview,2023-06-06
A0052,E0098,C0006,76,Applied Project Simulation,2021-11-24
A0053,E0101,C0049,91,Competency,2024-06-07
A0054,E0102,C0026,56,Client Interview,2025-06-09
A0055,E0104,C0025,47,Competency,2023-02-06
A0056,E0104,C0028,77,Hands-on,2024-08-19
A0057,E0108,C0040,76,Client Interview,2022-05-31
A0058,E0109,C0025,85,Hands-on,2023-12-10
A0059,E0109,C0007,84,Applied Project Simulation,2026-05-13
A0060,E0111,C0032,64,Competency,2021-10-07
A0061,E0117,C0022,45,Client Interview,2026-04-09
A0062,E0118,C0020,79,Applied Project Simulation,2023-12-08
A0063,E0120,C0024,51,Client Interview,2022-11-02
A0064,E0123,C0049,89,Applied Project Simulation,2024-09-22
A0065,E0125,C0027,93,Client Interview,2022-03-18
A0066,E0127,C0015,92,Competency,2025-11-17
A0067,E0128,C0022,41,Applied Project Simulation,2025-03-20
A0068,E0131,C0017,56,Competency,2025-10-01
A0069,E0132,C0029,71,Applied Project Simulation,2026-06-14
A0070,E0132,C0035,94,Hands-on,2025-04-11
A0071,E0134,C0023,98,Client Interview,2024-04-19
A0072,E0134,C0025,81,Competency,2022-08-29
A0073,E0136,C0046,85,Competency,2023-07-26
A0074,E0137,C0035,42,Applied Project Simulation,2024-10-30
A0075,E0141,C0025,82,Client Interview,2023-12-04
A0076,E0142,C0031,94,Client Interview,2021-11-16
A0077,E0142,C0014,71,Competency,2021-12-03
A0078,E0143,C0002,77,Hands-on,2021-05-11
A0079,E0148,C0047,80,Client Interview,2025-11-11
A0080,E0148,C0018,88,Client Interview,2024-08-31
A0081,E0149,C0023,82,Hands-on,2024-08-04
A0082,E0157,C0040,74,Applied Project Simulation,2022-09-27
A0083,E0158,C0028,100,Client Interview,2025-07-23
A0084,E0159,C0035,55,Competency,2021-05-07
A0085,E0160,C0041,61,Client Interview,2024-01-27
A0086,E0165,C0033,84,Competency,2022-12-15
A0087,E0167,C0027,80,Applied Project Simulation,2025-04-21
A0088,E0169,C0031,87,Applied Project Simulation,2021-11-19
A0089,E0169,C0004,48,Hands-on,2025-12-28
A0090,E0172,C0044,90,Client Interview,2025-05-27
A0091,E0172,C0019,71,Client Interview,2026-01-31
A0092,E0174,C0007,61,Competency,2026-03-29
A0093,E0175,C0027,74,Client Interview,2022-08-26
A0094,E0178,C0046,60,Competency,2024-02-13
A0095,E0178,C0028,98,Client Interview,2024-08-17
A0096,E0179,C0041,44,Client Interview,2024-10-27
A0097,E0180,C0041,68,Competency,2024-08-19
A0098,E0181,C0009,48,Applied Project Simulation,2021-12-17
A0099,E0186,C0013,59,Competency,2025-08-06
A0100,E0186,C0048,85,Client Interview,2026-04-13
A0101,E0187,C0016,81,Applied Project Simulation,2021-04-14
A0102,E0189,C0016,55,Applied Project Simulation,2021-03-12
A0103,E0192,C0030,100,Client Interview,2023-10-29
A0104,E0196,C0026,72,Applied Project Simulation,2024-11-16
A0105,E0197,C0029,79,Applied Project Simulation,2026-06-04
A0106,E0201,C0031,67,Hands-on,2021-07-22
A0107,E0203,C0031,76,Client Interview,2021-07-22
A0108,E0204,C0021,78,Applied Project Simulation,2024-06-08
A0109,E0206,C0027,97,Applied Project Simulation,2021-07-28
A0110,E0209,C0030,66,Competency,2023-07-14
A0111,E0213,C0033,61,Client Interview,2023-06-26
A0112,E0215,C0017,60,Applied Project Simulation,2024-07-16
A0113,E0217,C0025,65,Applied Project Simulation,2023-11-03
A0114,E0218,C0030,79,Applied Project Simulation,2024-05-06
A0115,E0219,C0040,72,Competency,2024-08-05
A0116,E0223,C0034,77,Hands-on,2022-11-22
A0117,E0223,C0050,91,Client Interview,2021-06-28
A0118,E0224,C0007,69,Client Interview,2026-05-11
A0119,E0225,C0003,83,Competency,2023-09-01
A0120,E0226,C0038,97,Applied Project Simulation,2021-03-19
A0121,E0227,C0031,75,Client Interview,2023-07-31
A0122,E0228,C0010,78,Applied Project Simulation,2026-03-10
A0123,E0230,C0030,44,Competency,2024-05-24
A0124,E0231,C0014,97,Hands-on,2021-06-12
A0125,E0232,C0028,68,Competency,2023-12-31
A0126,E0233,C0050,45,Client Interview,2021-10-24
A0127,E0234,C0041,92,Applied Project Simulation,2024-10-11
A0128,E0234,C0040,48,Applied Project Simulation,2022-03-26
A0129,E0235,C0022,84,Competency,2025-09-28
A0130,E0237,C0030,86,Competency,2024-04-14
A0131,E0241,C0015,94,Hands-on,2026-03-24
A0132,E0243,C0005,84,Applied Project Simulation,2025-02-20
A0133,E0244,C0021,72,Client Interview,2024-01-29
A0134,E0250,C0013,43,Client Interview,2026-06-12
A0135,E0251,C0015,62,Hands-on,2025-11-02
A0136,E0252,C0023,75,Competency,2024-08-20
A0137,E0253,C0044,77,Applied Project Simulation,2025-05-18
A0138,E0256,C0020,41,Client Interview,2024-05-29
A0139,E0259,C0040,72,Competency,2022-07-15
A0140,E0260,C0032,83,Competency,2022-02-02
A0141,E0263,C0005,59,Applied Project Simulation,2025-03-22
A0142,E0264,C0023,80,Hands-on,2024-06-19
A0143,E0264,C0015,61,Client Interview,2026-03-25
A0144,E0266,C0013,74,Client Interview,2026-02-16
A0145,E0272,C0033,91,Competency,2022-12-05
A0146,E0274,C0043,74,Client Interview,2025-07-04
A0147,E0274,C0034,89,Hands-on,2022-09-04
A0148,E0276,C0032,89,Competency,2022-05-15
A0149,E0277,C0022,85,Applied Project Simulation,2026-01-18
A0150,E0279,C0018,63,Applied Project Simulation,2023-09-08
A0151,E0281,C0017,71,Client Interview,2025-05-08
A0152,E0282,C0033,88,Competency,2023-06-30
A0153,E0283,C0047,44,Hands-on,2026-01-12
A0154,E0284,C0046,87,Client Interview,2023-10-27
A0155,E0284,C0028,61,Applied Project Simulation,2023-12-17
A0156,E0285,C0028,48,Client Interview,2024-04-04
A0157,E0286,C0039,64,Hands-on,2025-01-31
A0158,E0289,C0017,71,Hands-on,2025-09-01
A0159,E0290,C0017,63,Competency,2026-06-27
A0160,E0291,C0021,90,Hands-on,2024-02-28
A0161,E0292,C0032,99,Client Interview,2022-03-28
A0162,E0293,C0005,59,Client Interview,2025-06-24
A0163,E0295,C0028,85,Applied Project Simulation,2024-02-12
A0164,E0297,C0046,71,Client Interview,2023-12-05
A0165,E0298,C0033,67,Applied Project Simulation,2024-10-01
A0166,E0298,C0015,82,Hands-on,2025-09-16
A0167,E0299,C0005,89,Client Interview,2025-03-14
A0168,E0300,C0032,62,Applied Project Simulation,2022-01-19
A0169,E0301,C0041,92,Client Interview,2024-10-10
A0170,E0302,C0014,72,Hands-on,2022-01-21
A0171,E0304,C0008,88,Applied Project Simulation,2024-11-01
A0172,E0305,C0046,79,Client Interview,2024-10-17
A0173,E0308,C0022,65,Competency,2026-02-18
A0174,E0309,C0028,75,Applied Project Simulation,2024-06-20
A0175,E0311,C0030,76,Competency,2024-04-07
A0176,E0312,C0030,70,Competency,2024-03-16
A0177,E0312,C0027,67,Applied Project Simulation,2022-01-26
A0178,E0313,C0028,56,Competency,2024-07-22
A0179,E0315,C0049,89,Hands-on,2024-05-11
A0180,E0316,C0019,81,Hands-on,2025-12-07
A0181,E0317,C0018,66,Client Interview,2023-01-06
A0182,E0318,C0028,52,Hands-on,2023-12-22
A0183,E0319,C0028,99,Hands-on,2024-06-29
A0184,E0320,C0010,83,Competency,2026-02-08
A0185,E0320,C0035,94,Client Interview,2024-12-23
A0186,E0322,C0036,85,Client Interview,2024-03-22
A0187,E0325,C0023,98,Competency,2024-06-28
A0188,E0327,C0021,97,Applied Project Simulation,2024-05-21
A0189,E0329,C0027,75,Competency,2022-02-01
A0190,E0335,C0020,50,Competency,2024-03-20
A0191,E0335,C0010,52,Competency,2026-03-17
A0192,E0336,C0018,84,Client Interview,2022-12-13
A0193,E0337,C0031,85,Hands-on,2025-01-06
A0194,E0338,C0019,98,Competency,2026-02-12
A0195,E0339,C0029,66,Competency,2025-09-16
A0196,E0342,C0014,66,Hands-on,2021-05-16
A0197,E0343,C0033,63,Applied Project Simulation,2022-10-02
A0198,E0344,C0026,82,Client Interview,2024-09-29
A0199,E0345,C0046,86,Competency,2023-06-11
A0200,E0345,C0049,92,Hands-on,2023-06-28
A0201,E0346,C0035,89,Client Interview,2021-06-05
A0202,E0347,C0031,48,Client Interview,2022-08-09
A0203,E0351,C0043,47,Competency,2024-12-22
A0204,E0357,C0028,89,Hands-on,2024-11-14
A0205,E0358,C0021,95,Competency,2024-04-08
A0206,E0362,C0016,93,Applied Project Simulation,2024-09-13
A0207,E0364,C0020,94,Client Interview,2024-05-12
A0208,E0368,C0017,43,Client Interview,2026-04-18
A0209,E0372,C0045,96,Client Interview,2023-05-24
A0210,E0374,C0026,77,Hands-on,2024-04-06
A0211,E0376,C0035,76,Client Interview,2022-01-15
A0212,E0379,C0022,56,Applied Project Simulation,2025-06-07
A0213,E0380,C0040,96,Competency,2022-07-16
A0214,E0382,C0036,78,Hands-on,2024-11-08
A0215,E0386,C0020,51,Client Interview,2024-10-18
A0216,E0386,C0013,60,Applied Project Simulation,2025-10-01
A0217,E0388,C0028,100,Applied Project Simulation,2024-02-15
A0218,E0389,C0019,95,Hands-on,2025-11-11
A0219,E0389,C0028,46,Client Interview,2024-01-08
A0220,E0390,C0033,68,Competency,2023-03-30
A0221,E0396,C0029,90,Competency,2026-05-09
A0222,E0397,C0027,71,Client Interview,2022-04-27
A0223,E0400,C0006,100,Client Interview,2021-11-01
A0224,E0403,C0024,65,Client Interview,2023-03-08
A0225,E0405,C0027,97,Competency,2021-12-07
A0226,E0409,C0025,98,Hands-on,2023-10-15
A0227,E0409,C0027,84,Client Interview,2021-07-29
A0228,E0415,C0027,43,Client Interview,2021-11-25
A0229,E0425,C0041,90,Applied Project Simulation,2024-12-12
A0230,E0426,C0028,78,Applied Project Simulation,2024-01-25
A0231,E0428,C0028,81,Applied Project Simulation,2024-09-21
A0232,E0429,C0013,96,Competency,2026-06-29
A0233,E0433,C0027,74,Hands-on,2022-04-20
A0234,E0433,C0025,83,Client Interview,2022-07-02
A0235,E0436,C0025,90,Applied Project Simulation,2025-07-02
A0236,E0437,C0031,79,Client Interview,2021-08-08
A0237,E0441,C0039,72,Applied Project Simulation,2024-01-24
A0238,E0444,C0033,60,Hands-on,2023-01-26
A0239,E0445,C0025,70,Client Interview,2022-08-25
A0240,E0445,C0027,91,Client Interview,2021-06-19
A0241,E0446,C0038,89,Hands-on,2021-05-20
A0242,E0446,C0013,82,Competency,2025-10-12
A0243,E0448,C0010,100,Hands-on,2025-05-07
A0244,E0449,C0025,47,Applied Project Simulation,2022-07-28
A0245,E0451,C0048,68,Competency,2026-01-25
A0246,E0455,C0008,57,Competency,2025-06-29
A0247,E0456,C0026,89,Client Interview,2025-06-17
A0248,E0457,C0029,80,Hands-on,2025-12-17
A0249,E0457,C0034,80,Hands-on,2024-09-19
A0250,E0460,C0025,83,Client Interview,2022-07-23
A0251,E0465,C0014,88,Applied Project Simulation,2022-12-07
A0252,E0466,C0031,70,Client Interview,2021-12-17
A0253,E0468,C0025,95,Hands-on,2023-06-15
A0254,E0469,C0042,52,Competency,2022-05-14
A0255,E0469,C0012,76,Applied Project Simulation,2022-05-02
A0256,E0470,C0014,59,Competency,2022-02-20
A0257,E0471,C0041,58,Applied Project Simulation,2024-10-08
A0258,E0471,C0050,81,Client Interview,2021-04-13
A0259,E0472,C0034,68,Hands-on,2023-03-08
A0260,E0475,C0028,86,Hands-on,2023-12-02
A0261,E0476,C0047,40,Client Interview,2025-12-31
A0262,E0479,C0007,94,Competency,2026-03-31
A0263,E0479,C0024,90,Client Interview,2022-12-05
A0264,E0480,C0016,71,Competency,2020-12-21
A0265,E0481,C0010,76,Applied Project Simulation,2025-08-27
A0266,E0483,C0008,71,Competency,2025-01-06
A0267,E0487,C0026,90,Hands-on,2024-06-07
A0268,E0489,C0025,70,Hands-on,2023-09-23
A0269,E0490,C0028,76,Client Interview,2024-07-03
A0270,E0491,C0027,85,Hands-on,2021-06-13
A0271,E0492,C0022,74,Client Interview,2025-05-27
A0272,E0493,C0017,57,Applied Project Simulation,2025-02-01
A0273,E0494,C0027,51,Applied Project Simulation,2021-04-10
A0274,E0498,C0021,81,Applied Project Simulation,2024-05-16
A0275,E0499,C0007,98,Applied Project Simulation,2026-03-27
