trainer_id,course_id,training_start_date,training_end_date,ingest_timestamp,load_key
T00248,C00047,18-09-2025,23-09-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00249,C00018,30-09-2022,15-10-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00250,C00050,18-07-2021,31-07-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00251,C00016,23-06-2021,08-07-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00252,C00044,23-01-2025,03-02-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00253,C00006,08-09-2021,18-09-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00254,C00026,03-11-2024,06-11-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00255,C00016,21-11-2020,02-12-2020,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00256,C00017,13-12-2024,22-12-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00257,C00024,30-12-2022,08-01-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00258,C00004,30-11-2025,04-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00259,C00023,13-04-2024,21-04-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00260,C00045,04-02-2024,19-02-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00261,C00034,27-06-2022,09-07-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00262,C00050,11-09-2021,21-09-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00263,C00040,15-12-2021,29-12-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00264,C00036,23-01-2025,03-02-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00265,C00006,06-11-2021,21-11-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00266,C00044,17-10-2024,26-10-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00267,C00019,10-03-2026,17-03-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00268,C00004,29-12-2025,03-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00269,C00029,31-07-2025,06-08-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00270,C00024,26-02-2023,02-03-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00271,C00022,11-04-2026,21-04-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00272,C00026,13-06-2024,27-06-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00273,C00002,27-03-2021,10-04-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00274,C00043,07-05-2025,15-05-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00275,C00003,23-12-2023,31-12-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00276,C00008,27-01-2024,30-01-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00277,C00030,08-08-2023,16-08-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00278,C00045,20-01-2024,27-01-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00279,C00037,08-04-2026,19-04-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00280,C00049,15-07-2023,27-07-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00281,C00046,10-03-2024,22-03-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00282,C00037,24-05-2026,01-06-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00283,C00037,06-07-2025,17-07-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00284,C00036,21-06-2024,03-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00285,C00021,01-07-2024,05-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00286,C00002,18-09-2020,22-09-2020,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00287,C00008,17-08-2024,01-09-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00288,C00001,29-10-2022,08-11-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00289,C00046,29-05-2024,08-06-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00290,C00047,18-03-2026,23-03-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00291,C00043,28-06-2025,03-07-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00292,C00029,11-08-2025,22-08-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00293,C00018,16-01-2023,24-01-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00294,C00045,19-01-2024,25-01-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00295,C00029,05-07-2025,13-07-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00296,C00029,28-12-2025,10-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00297,C00029,23-11-2025,03-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00298,C00025,01-06-2022,16-06-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00299,C00033,14-03-2023,25-03-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00300,C00019,06-12-2025,18-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00301,C00017,02-01-2026,07-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00302,C00019,10-12-2025,19-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00303,C00038,06-09-2021,18-09-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00304,C00043,23-05-2025,31-05-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00305,C00035,23-12-2021,27-12-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00306,C00037,30-05-2026,12-06-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00307,C00029,06-12-2025,16-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00308,C00033,23-03-2023,29-03-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00309,C00033,26-06-2022,03-07-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00310,C00009,15-11-2021,23-11-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00311,C00029,01-01-2026,04-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00312,C00013,30-11-2025,13-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00313,C00001,12-08-2022,18-08-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00314,C00002,07-11-2020,11-11-2020,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00315,C00007,28-09-2025,01-10-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00316,C00023,11-09-2024,21-09-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00317,C00028,07-01-2024,18-01-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00318,C00001,10-01-2023,20-01-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00319,C00037,28-11-2025,07-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00320,C00030,18-11-2023,29-11-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00321,C00016,23-01-2021,02-02-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00322,C00031,08-02-2021,20-02-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00323,C00044,05-05-2025,17-05-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00324,C00030,01-04-2023,11-04-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00325,C00013,27-06-2025,02-07-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00326,C00014,03-07-2022,16-07-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00327,C00009,08-05-2022,20-05-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00328,C00007,14-07-2026,22-07-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00329,C00014,09-03-2022,15-03-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00330,C00024,28-01-2023,03-02-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00331,C00035,08-10-2021,20-10-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00332,C00032,26-04-2021,02-05-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00333,C00018,02-08-2022,17-08-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00334,C00025,24-04-2023,02-05-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00335,C00030,03-10-2023,09-10-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00336,C00007,04-08-2026,18-08-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00337,C00036,25-12-2024,01-01-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00338,C00004,22-02-2026,01-03-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00339,C00046,23-05-2024,05-06-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00340,C00041,17-12-2023,20-12-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00341,C00022,28-08-2025,02-09-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00342,C00021,31-12-2023,04-01-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00343,C00049,06-10-2023,17-10-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00344,C00043,12-07-2024,27-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00345,C00030,13-08-2023,21-08-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00346,C00004,04-03-2026,15-03-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00347,C00006,25-08-2021,01-09-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00348,C00045,28-09-2023,02-10-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00349,C00044,26-07-2025,29-07-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00350,C00043,23-12-2024,02-01-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00351,C00022,16-08-2025,27-08-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00352,C00025,29-04-2022,05-05-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00353,C00020,07-07-2024,15-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00354,C00042,23-11-2022,03-12-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00355,C00030,27-02-2024,07-03-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00356,C00030,05-03-2024,16-03-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00357,C00008,24-07-2024,30-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00358,C00020,18-08-2023,27-08-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00359,C00032,18-12-2021,29-12-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00360,C00034,30-04-2022,11-05-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00361,C00012,05-12-2021,11-12-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00362,C00024,13-10-2022,17-10-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00363,C00018,14-09-2022,20-09-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00364,C00003,19-06-2024,26-06-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00365,C00027,13-08-2021,26-08-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00366,C00009,04-11-2021,18-11-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00367,C00010,24-04-2026,27-04-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00368,C00040,27-12-2021,01-01-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00369,C00032,10-12-2021,19-12-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00370,C00034,25-04-2022,03-05-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00371,C00038,02-02-2021,07-02-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00372,C00018,01-09-2022,14-09-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00373,C00043,11-08-2024,18-08-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00374,C00026,21-11-2024,06-12-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00375,C00041,28-11-2023,09-12-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00376,C00023,18-03-2024,27-03-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00377,C00029,28-03-2026,11-04-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00378,C00025,09-05-2023,16-05-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00379,C00013,01-02-2026,15-02-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00380,C00032,15-11-2021,24-11-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00381,C00003,31-08-2023,13-09-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00382,C00005,01-03-2025,08-03-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00383,C00012,17-10-2021,23-10-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00384,C00003,14-11-2023,17-11-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00385,C00037,09-01-2026,21-01-2026,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00386,C00005,05-12-2024,09-12-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00387,C00011,05-02-2024,18-02-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00388,C00004,23-11-2025,04-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00389,C00043,15-06-2025,26-06-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00390,C00011,23-07-2024,27-07-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00391,C00043,12-02-2025,20-02-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00392,C00030,20-12-2023,01-01-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00393,C00035,19-09-2021,27-09-2021,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00394,C00028,09-08-2024,12-08-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00395,C00034,06-11-2022,20-11-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00396,C00017,23-12-2025,30-12-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00397,C00001,07-02-2023,20-02-2023,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00398,C00030,25-02-2024,04-03-2024,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00399,C00042,25-06-2022,08-07-2022,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
T00400,C00017,25-12-2024,04-01-2025,2026-07-05 19:43:49.381694,LCK_20260705_194349_XAJI0Y
